,nova_coluna,Pclass,PassengerId,Sex,Cabin
1,0.8,1,2,F,C85
3,2.4000000000000004,1,4,F,C123
4,1.6,3,5,M,
5,2.4000000000000004,3,6,M,
6,4.800000000000001,1,7,M,E46
7,4.0,3,8,M,
8,4.800000000000001,3,9,F,
9,6.4,2,10,F,
10,6.4,3,11,F,G6
11,8.8,1,12,F,C103
12,8.0,3,13,M,
13,8.8,3,14,M,
15,11.200000000000001,2,16,F,
16,11.200000000000001,3,17,M,
17,12.8,2,18,M,
18,12.8,3,19,F,
20,15.200000000000001,2,21,M,
21,16.0,2,22,M,D56
23,18.400000000000002,1,24,M,A6
24,17.6,3,25,F,
25,18.400000000000002,3,26,F,
30,24.0,1,31,M,
31,24.8,1,32,F,B78
33,25.6,2,34,M,
34,27.200000000000003,1,35,M,
35,28.0,1,36,M,
37,28.0,3,38,M,
38,28.8,3,39,F,
39,29.6,3,40,F,
40,30.400000000000002,3,41,F,
41,32.0,2,42,F,
43,33.6,2,44,F,
45,34.4,3,46,M,
46,35.2,3,47,M,
48,36.800000000000004,3,49,M,
49,37.6,3,50,F,
50,38.400000000000006,3,51,M,
52,41.6,1,53,F,D33
53,41.6,2,54,F,
54,43.2,1,55,M,B30
55,44.0,1,56,M,C52
56,44.0,2,57,F,
58,45.6,2,59,F,
59,45.6,3,60,M,
61,48.800000000000004,1,62,F,B28
62,49.6,1,63,M,C83
63,48.800000000000004,3,64,M,
64,51.2,1,65,M,
65,50.400000000000006,3,66,M,
66,52.0,2,67,F,F33
67,52.0,3,68,M,
69,53.6,3,70,M,
70,55.2,2,71,M,
71,55.2,3,72,F,
72,56.800000000000004,2,73,M,
73,56.800000000000004,3,74,M,
74,57.6,3,75,M,
77,60.0,3,78,M,
78,61.6,2,79,M,
79,61.6,3,80,F,
80,62.400000000000006,3,81,M,
81,63.2,3,82,M,
83,66.4,1,84,M,
84,66.4,2,85,F,
85,66.4,3,86,F,
86,67.2,3,87,M,
87,68.0,3,88,M,
89,69.60000000000001,3,90,M,
90,70.4,3,91,M,
92,73.60000000000001,1,93,M,E31
93,72.8,3,94,M,
95,74.4,3,96,M,
96,76.80000000000001,1,97,M,A5
97,77.60000000000001,1,98,M,D10 D12
98,77.60000000000001,2,99,F,
99,78.4,2,100,M,
102,81.60000000000001,1,103,M,D26
103,80.80000000000001,3,104,M,
109,85.60000000000001,3,110,F,
110,88.0,1,111,M,C110
111,87.2,3,112,F,
112,88.0,3,113,M,
113,88.80000000000001,3,114,F,
114,89.60000000000001,3,115,F,
117,92.80000000000001,2,118,M,
119,93.60000000000001,3,120,F,
120,95.2,2,121,M,
121,95.2,3,122,M,
122,96.80000000000001,2,123,M,
123,97.60000000000001,2,124,F,E101
124,99.2,1,125,M,D26
125,98.4,3,126,M,
128,100.80000000000001,3,129,F,F E69
132,104.0,3,133,F,
133,105.60000000000001,2,134,F,
134,106.4,2,135,M,
135,107.2,2,136,M,
136,108.80000000000001,1,137,F,D47
137,109.60000000000001,1,138,M,C123
138,108.80000000000001,3,139,M,
139,111.2,1,140,M,B86
140,110.4,3,141,F,
142,112.0,3,143,F,
144,114.4,2,145,M,
145,115.2,2,146,M,
147,116.0,3,148,F,
148,117.60000000000001,2,149,M,F2
149,118.4,2,150,M,
150,119.2,2,151,M,
151,120.80000000000001,1,152,F,C2
152,120.0,3,153,M,
153,120.80000000000001,3,154,M,
155,124.0,1,156,M,
157,124.0,3,158,M,
158,124.80000000000001,3,159,M,
159,125.60000000000001,3,160,M,
160,126.4,3,161,M,
161,128.0,2,162,F,
163,128.8,3,164,M,
164,129.6,3,165,M,
165,130.4,3,166,M,
166,132.8,1,167,F,E33
167,132.0,3,168,F,
168,134.4,1,169,M,
169,133.6,3,170,M,
170,136.0,1,171,M,B19
171,135.20000000000002,3,172,M,
172,136.0,3,173,F,
174,139.20000000000002,1,175,M,A7
176,139.20000000000002,3,177,M,
177,141.6,1,178,F,C49
178,141.6,2,179,M,
180,142.4,3,181,F,
181,144.0,2,182,M,
182,144.0,3,183,M,
183,145.6,2,184,M,F4
184,145.6,3,185,F,
185,148.0,1,186,M,A32
186,147.20000000000002,3,187,F,
187,149.6,1,188,M,
188,148.8,3,189,M,
190,151.20000000000002,2,191,F,
191,152.0,2,192,M,
193,153.60000000000002,2,194,M,F2
194,155.20000000000002,1,195,F,B4
195,156.0,1,196,F,B80
197,156.0,3,198,M,
199,158.4,2,200,F,
200,158.4,3,201,M,
201,159.20000000000002,3,202,M,
204,161.60000000000002,3,205,M,
205,162.4,3,206,F,G6
206,163.20000000000002,3,207,M,
207,164.0,3,208,M,
209,167.20000000000002,1,210,M,A31
211,168.0,2,212,F,
213,169.60000000000002,2,214,M,
215,172.0,1,216,F,D36
217,172.8,2,218,M,
218,174.4,1,219,F,D15
219,174.4,2,220,M,
220,174.4,3,221,M,
221,176.0,2,222,M,
222,176.0,3,223,M,
224,179.20000000000002,1,225,M,C93
225,178.4,3,226,M,
226,180.0,2,227,M,
